model,device,dtype,prompt_len,trial,token_index,token_ms
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,42,48.127457999999734
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,43,48.84587500000137
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,44,54.36204100000097
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,45,65.82691699999899
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,46,57.755833000001644
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,47,55.5129999999977
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,48,51.0200420000011
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,49,51.45370900000046
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,50,52.2056250000027
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,51,51.4113750000007
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,52,55.42308300000087
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,53,56.575083000002024
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,54,52.14062499999983
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,55,77.22054199999917
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,56,66.91545800000043
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,57,60.20062500000023
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,58,47.39854199999982
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,59,47.603916999999996
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,60,48.81087500000092
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,61,51.20883300000045
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,62,65.7666660000018
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,63,59.872291000001354
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,64,54.12387499999838
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,65,49.67354200000074
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,66,49.396749999999656
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,67,51.63224999999727
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,68,54.658082999999635
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,69,54.14666700000126
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,70,62.18312500000067
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,71,51.88324999999949
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,72,66.69741600000023
meta-llama/Llama-3.2-1B-Instruct,mps,float16,128,2,73,55.19537500000027
